face_id,lot,dmp,county_objectid,county_address
FACE-0303,1,151,38905565,7 ST PHILLIPS BLVD
FACE-0387,10,286,38905714,24 ST PHILLIPS BLVD
FACE-0827,100,214,38905635,58 MUM GRACE
FACE-0080,1001,,38906429,101 N MARKET
FACE-0071,"1004,1089","1021,1036",38906445,CHEROKEE FARMS RD
FACE-0077,1007,1039,38906448,104 N ASSEMBLY ROW
FACE-0074,1008,1040,38906449,106 N ASSEMBLY ROW
FACE-0066,1009,1041,38906450,108 N ASSEMBLY ROW
FACE-0792,101,243,38905667,80 EVE CRK
FACE-0057,1010,1042,38906451,110 N ASSEMBLY ROW
FACE-0049,1011,1043,38906452,112 N ASSEMBLY ROW
FACE-0046,1012,1044,38906453,113 N ASSEMBLY ROW
FACE-0052,1013,1045,38906454,111 N ASSEMBLY ROW
FACE-0067,1014,1046,38906455,107 N ASSEMBLY ROW
FACE-0073,1015,1047,38906456,106 N ABBEY ROW
FACE-0065,1016,1048,38906457,108 N ABBEY ROW
FACE-0055,1017,1049,38906458,110 N ABBEY ROW
FACE-0048,1018,1050,38906459,112 N ABBEY ROW
FACE-0047,1019,1055,38906464,111 N ABBEY ROW
FACE-0831,102,213,38905634,62 MUM GRACE
FACE-0053,1020,1056,38906465,109 N ABBEY ROW
FACE-0064,1021,1057,38906466,107 N ABBEY ROW
FACE-0072,1022,1058,38906467,105 N ABBEY ROW
FACE-0075,1023,1059,38906468,10 LOUIS PINCKNEY SR AVE
FACE-0070,1024,1060,38906469,12 LOUIS PINCKNEY SR AVE
FACE-0063,1025,1061,38906470,14 LOUIS PINCKNEY SR AVE
FACE-0056,1026,1062,38906471,16 LOUIS PINCKNEY SR AVE
FACE-0051,1027,1063,38906472,18 LOUIS PINCKNEY SR AVE
FACE-0045,1028,1064,38906473,20 LOUIS PINCKNEY SR AVE
FACE-0038,1029,1079,38906488,37 EMMETT DAVIS JR BLVD
FACE-0785,103,242,38905666,88 EVE CRK
FACE-0036,1030,1080,38906489,39 EMMETT DAVIS JR BLVD
FACE-0023,1031,1081,38906490,33 LOUIS PINCKNEY SR AVE
FACE-0031,1032,1082,38906491,31 LOUIS PINCKNEY SR AVE
FACE-0032,1033,1083,38906492,29 LOUIS PINCKNEY SR AVE
FACE-0033,1034,1131,38906539,27 LOUIS PINCKNEY SR AVE
FACE-0035,1035,1132,38906540,25 LOUIS PINCKNEY SR AVE
FACE-0042,1036,1133,38906541,23 LOUIS PINCKNEY SR AVE
FACE-0050,1037,1065,38906474,19 LOUIS PINCKNEY SR AVE
FACE-0054,1038,1066,38906475,17 LOUIS PINCKNEY SR AVE
FACE-0062,1039,1067,38906476,15 LOUIS PINCKNEY SR AVE
FACE-0835,104,212,38905633,66 MUM GRACE
FACE-0069,1040,,38906477,11 LOUIS PINCKNEY SR AVE
FACE-0076,1041,,38906478,7 LOUIS PINCKNEY SR AVE
FACE-0078,1042,,38906479,5 LOUIS PINCKNEY SR AVE
FACE-0081,1043,,38906480,3 LOUIS PINCKNEY SR AVE
FACE-0030,1044,1091,38906500,25 FRANCIS CLARA PKY
FACE-0027,1045,1092,38906501,27 FRANCIS CLARA PKY
FACE-0026,1046,1093,38906502,29 FRANCIS CLARA PKY
FACE-0025,1047,1094,38906503,31 FRANCIS CLARA PKY
FACE-0028,1048,1095,38906504,33 FRANCIS CLARA PKY
FACE-0034,1049,1084,38906493,28 ZEB RUN
FACE-0801,105,224,38905645,15 EVE CRK
FACE-0037,1050,1085,38906494,26 ZEB RUN
FACE-0039,1051,1086,38906495,24 ZEB RUN
FACE-0044,1052,1087,38906496,20 ZEB RUN
FACE-0043,1053,1088,38906497,18 ZEB RUN
FACE-0041,1054,1089,38906498,16 ZEB RUN
FACE-0040,1055,1090,38906499,14 ZEB RUN
FACE-0058,1056,1072,38906481,15 ZEB RUN
FACE-0059,1057,1073,38906482,17 ZEB RUN
FACE-0060,1058,1074,38906483,19 ZEB RUN
FACE-0061,1059,1075,38906484,21 ZEB RUN
FACE-0839,106,211,38905632,70 MUM GRACE
FACE-0029,1060,1096,38906505,37 FRANCIS CLARA PKY
FACE-0024,1061,1097,38906506,39 FRANCIS CLARA PKY
FACE-0022,1062,1098,38906507,41 FRANCIS CLARA PKY
FACE-0020,1063,1099,38906508,43 FRANCIS CLARA PKY
FACE-0019,1064,1100,38906509,45 FRANCIS CLARA PKY
FACE-0017,1065,1101,38906510,47 FRANCIS CLARA PKY
FACE-0021,1066,1102,38906511,40 FIELDERS MOUNT
FACE-0018,1067,1103,38906512,38 FIELDERS MOUNT
FACE-0016,1068,1104,38906513,36 FIELDERS MOUNT
FACE-0015,1069,1105,38906514,34 FIELDERS MOUNT
FACE-0814,107,222,38905643,55 MUM GRACE
FACE-0014,1070,1106,38906515,30 FIELDERS MOUNT
FACE-0013,1071,1107,38906516,28 FIELDERS MOUNT
FACE-0009,1072,1108,38906517,26 FIELDERS MOUNT
FACE-0006,1073,1109,38906518,24 FIELDERS MOUNT
FACE-0002,1074,1110,38906519,22 FIELDERS MOUNT
FACE-0001,1075,1111,38906520,20 FIELDERS MOUNT
FACE-0003,1076,1112,38906521,16 FIELDERS MOUNT
FACE-0004,1077,1113,38906522,14 FIELDERS MOUNT
FACE-0005,1078,1114,38906523,12 FIELDERS MOUNT
FACE-0007,1079,1115,38906524,10 FIELDERS MOUNT
FACE-0713,108,173,38905593,141 COLLIN CAMPBELL
FACE-0008,1080,1116,38906525,8 FIELDERS MOUNT
FACE-0010,1081,1117,38906526,6 FIELDERS MOUNT
FACE-0011,1082,1118,38906527,4 FIELDERS MOUNT
FACE-0012,1083,1119,38906528,2 FIELDERS MOUNT
FACE-0082,1085,,38906443,CHEROKEE FARMS RD
FACE-0083,1086,,38906442,CHEROKEE FARMS RD
FACE-0084,1087,1051,38906460,159 CHEROKEE FARMS RD
FACE-0797,109,221,38905642,51 MUM GRACE
FACE-0710,110,174,38905594,143 COLLIN CAMPBELL
FACE-0781,111,216,38905637,30 GRACE PARK
FACE-0706,112,175,38905595,145 COLLIN CAMPBELL
FACE-0779,113,217,38905638,32 GRACE PARK
FACE-0703,114,176,38905596,147 COLLIN CAMPBELL
FACE-0776,115,218,38905639,34 GRACE PARK
FACE-0699,116,177,38905597,149 COLLIN CAMPBELL
FACE-0773,117,219,38905640,36 GRACE PARK
FACE-0698,118,178,38905598,151 COLLIN CAMPBELL
FACE-0769,119,220,38905641,38 GRACE PARK
FACE-0672,120,331,38905759,7 LITTLE JANE WAY
FACE-0765,121,345,38905780,42 GRACE PARK
FACE-0667,122,332,38905760,11 LITTLE JANE WAY
FACE-0762,123,344,38905779,46 GRACE PARK
FACE-0666,124,333,38905761,15 LITTLE JANE WAY
FACE-0757,125,343,38905778,48 GRACE PARK
FACE-0669,126,334,38905762,19 LITTLE JANE WAY
FACE-0749,127,342,38905777,50 GRACE PARK
FACE-0673,128,335,38905763,23 LITTLE JANE WAY
FACE-0745,129,341,38905776,52 GRACE PARK
FACE-0681,130,336,38905764,27 LITTLE JANE WAY
FACE-0739,131,340,38905775,54 GRACE PARK
FACE-0691,132,337,38905765,31 LITTLE JANE WAY
FACE-0750,133,346,38905781,28 OAK POND PASSAGE
FACE-0707,134,338,38905766,35 LITTLE JANE WAY
FACE-0743,135,347,38905782,30 OAK POND PASSAGE
FACE-0736,137,348,38905783,32 OAK POND PASSAGE
FACE-0720,138,339,38905767,39 LITTLE JANE WAY
FACE-0729,139,349,38905784,34 OAK POND PASSAGE
