face_id,lot,dmp
FACE-0085,1003,1020
FACE-0401,13,157
FACE-0212,"594-1,594-2","836,929"
FACE-0107,602,844
FACE-0099,"604-1A,604-1B,604-2A,604-2B,604-3A,604-3B",846
FACE-0132,"606-1A,606-1B,606-2A,606-2B,606-3A,606-3B",848
FACE-0162,"608-1A,608-1B,608-2A,608-2B,608-3A,608-3B","850,850 0004,850, 2"
FACE-0183,"610-1A,610-1B,610-2A,610-2B,610-3A,610-3B","852,852-0004"
FACE-0223,615 (+614),857
FACE-0220,"634-1,634-2",876
FACE-0219,"636-1,636-2","878 0001,878 0002"
FACE-0218,"638-1,638-2","880 0001,880-2"
FACE-0113,671,914
FACE-0152,"C10-1,C10-2","125,927"
FACE-0197,"C13&15-1,C15-2","140,671"
FACE-0187,"C16-1,C16-2","122,928"
FACE-0209,"C17-1,C17-2","142,672"
FACE-0234,"C19-1,C19-2","143,670"
FACE-0239,"C21-1,C21-2","144,545"
FACE-0228,"C28-1,C28-2","116,484"
FACE-0102,"C3-1,C3-2","135,932"
FACE-0246,C34-1,97
FACE-0215,C34-2,543
FACE-0174,"C37-1,C37-2","113,544"
FACE-0181,"C40-1,C40-2","100,925"
FACE-0143,"C43-1,C43-2","110,675"
FACE-0160,"C44-1,C44-2","102,674"
FACE-0100,C47-1,108
FACE-0115,C47-2,676
FACE-0120,"C5-1,C5-2","136,930"
FACE-0090,C50-1,
FACE-0116,C50-2,673
FACE-0103,"C51-1A,C51-1B,C51-2A,C51-2B,C51-3A,C51-3B","129,129, 6,129-5"
FACE-0105,"C54-1A,C54-1B,C54-2A,C54-2B,C54-3A,C54-3B","131,131-3"
FACE-0135,"C7-1,C7-2","137,931"
FACE-0134,"C8-1,C8-2","126,926"
